20130101,1,31.05,42497,2798
20130101,2,30.47,41463,2417
20130101,3,28.92,40812,2036
20130101,4,27.88,40246,1706
20130101,5,26.96,40088,1427
20130101,6,27.84,40360,1183
20130101,7,28.79,41027,1012
20130101,8,28.63,41976,908
20130101,9,28.44,42705,848
20130101,10,28.3,43503,819
20130101,11,30.65,44766,816
20130101,12,31.55,45691,830
20130101,13,32.16,46085,835
20130101,14,32.45,46306,821
20130101,15,32.63,46918,822
20130101,16,33.65,48161,843
20130101,17,34.9,49542,881
20130101,18,36.22,50210,968
20130101,19,36.65,49909,1102
20130101,20,36.37,49107,1233
20130101,21,35.49,48101,1332
20130101,22,34.41,47445,1342
20130101,23,34.66,45680,1327
20130101,0,32.55,44099,1352
20130102,1,33.15,42602,1350
20130102,2,32.66,41720,1314
20130102,3,31.83,41519,1339
20130102,4,31.47,41672,1352
20130102,5,32.56,42621,1347
20130102,6,34.36,44805,1407
20130102,7,36.28,48444,1464
20130102,8,38.39,52178,1498
20130102,9,39.09,53740,1576
20130102,10,38.33,53976,1683
20130102,11,38.42,54480,1815
20130102,12,38.25,54787,1925
20130102,13,37.96,54592,1979
20130102,14,37.89,54511,2005
20130102,15,37.88,54848,2007
20130102,16,38.78,55705,1966
20130102,17,39.83,56651,1891
20130102,18,39.91,56935,1821
20130102,19,39.32,55997,1774
20130102,20,38.49,54835,1734
20130102,21,37.46,53220,1716
20130102,22,36.94,51962,1723
20130102,23,36.37,49776,1781
20130102,0,34.59,47125,1918
20130103,1,33.11,45029,2209
20130103,2,32.22,44023,2349
20130103,3,31.46,43600,2530
20130103,4,31.67,43677,2732
20130103,5,32.05,44377,2867
20130103,6,33.67,46427,2973
20130103,7,34.93,50150,3113
20130103,8,35.82,54148,3216
20130103,9,36.38,55882,3286
20130103,10,36.52,56040,3402
20130103,11,36.71,56216,3549
20130103,12,36.6,56110,3648
20130103,13,36.51,55576,3677
20130103,14,36.4,55411,3680
20130103,15,36.42,55768,3686
20130103,16,36.58,56413,3679
20130103,17,36.94,57285,3644
20130103,18,36.94,57558,3553
20130103,19,36.81,56793,3440
20130103,20,36.43,55578,3312
20130103,21,35.91,53745,3203
20130103,22,35.45,52308,3111
20130103,23,34.77,49951,3043
20130103,0,32.09,47288,2977
20130104,1,31.71,44859,2956
20130104,2,30.86,43868,2832
20130104,3,30.21,43473,2757
20130104,4,30.36,43557,2686
20130104,5,30.89,44292,2554
20130104,6,32.21,46354,2368
20130104,7,34.33,49917,2212
20130104,8,35.98,53990,2119
20130104,9,36.72,55748,2114
20130104,10,36.68,55766,2206
20130104,11,36.8,56039,2396
20130104,12,36.64,55875,2641
20130104,13,36.44,55427,2828
20130104,14,36.31,55218,2924
20130104,15,35.83,55541,2976
20130104,16,36.12,56355,2973
20130104,17,36.8,57165,2915
20130104,18,37.29,57337,2832
20130104,19,37.15,56567,2733
20130104,20,36.47,55246,2597
20130104,21,36.03,53340,2422
20130104,22,35.43,51900,2213
20130104,23,35.17,49813,2007
20130104,0,32.95,47370,1808
20130105,1,33.69,44975,1612
20130105,2,32.71,43955,1274
20130105,3,32.09,43482,992
20130105,4,32.17,43213,763
20130105,5,32.73,43443,597
20130105,6,33.77,44042,460
20130105,7,34.03,45160,354
20130105,8,33.98,47109,284
20130105,9,34.45,48944,245
20130105,10,36.12,50445,227
20130105,11,36.69,51662,216
20130105,12,36.74,51849,206
20130105,13,36.52,51614,194
20130105,14,36.12,51186,196
20130105,15,36.14,51497,204
20130105,16,36.78,52648,221
